,0
1,ne 06/05/1995
3,centre dimagerie medicale pavillon
5,"78,75eur"
6,lundi 9h00/18h00
8,59100 roubaix
10,agee de 56 ans
11,pulmicort img aeroso!
12,pharmacie de la gare
13,mardi 9h00/18h00
14,12140 clamart
16,92130 issylesmoulineaux
18,cabin
19,hopitaux universitaires paris centre
20,scannez ce code barre pour retrouver cette ordonnance
25,prescpt oper
27,mercredi 15 septembre 2021
28,"issy les moulineaux, 05/10/2021"
29,monyant total
30,fettovs 25 47 03
31,triafem) cpr 3x21
32, 1 airomir autohaler 100 microg susp(salbutamol 100 ug suspension pour inhalation)
33,inexium 20
34,"9h30 a 12h 30, 14h a 19h"
35,"produit ou prestation, indiquer sa designation precise "
37,5- daflon 500mg cpr 30 (fraction flavonoique)
40,4) amitriptyline (chlorhydrate) 40 mg/ml solution buvable en gte
43,ans
46,service des maladies
47,mandibulairo
50,15 septembre 2021
51,chirurgie gynecologique et mammaire
52,praticien a la fondation ophtalmologique a de rothschild
54,"a meudon, le 17/09/2021"
56,d sylvaine hamelin
57,> colchicine 1 mg
58,fasquelle
60, rabeprazole arrow generiques 20 mg cpr gastrores plq/14
61,bote)
66,|dispensation du 10/04/2021 a 12h16m00s
68,sauf samedi apresmidi
69,hapitel ambroise pare
71,institut hospitalo-universitaire mediterranee infection
72,centre durologie
73,"sodium chlorure 0,9 % ; voie ophtaimique ; collyre solution"
74,nrpps
75,(nom de famille (de naissance) suivi du nom dusage (facultatif et sil y a lien))
79,nom i
81,"clamart, le 24/09/2021"
82,zik
83,medecine de la repropuction
85,1 handate de medicaments remtoursatles
86,consultlibre 8h3011h30
87,(doliprane 1000 mg cpr piq/8)
89,sejour prolonge de plusieurs mois a l etranger
90,eur
91,reeducation perineale
97,enfants
98,chirurge maxilofaciale
101,rosuvastatine 5mg evolugen cpr 90 (rosuvastatine)
103,rendezvous hospitalisation
109,kardegic 75 mg
110,hautsdeseine
112,
114,mane
116,"membre dune association de geslign, le reglement par cheque est zccepte,"
117,identiication de la sinictore
119,miplantologie
120,d mesotherapie
121,1) hydroxyzine chlorhydrate 25 mg comprime
123,monsieur
124,inexium 20mg cpr 7 (esomeprazole 20 mg comprime)
126,(affectation exonerante)
127,amlodipine (besilate) * 5 mg ; voie orale; gel
128,le ogloglen
129,hopitaltenon
130,oirot
133,nom et prenom pharmacie de lecoquartier
134,assistante sociale
136,consultat
138,sudique)
140,larganisme conentionne (potur les nun saluries)
141,n adeli 
142,carcinologio
144,diu de mesotherapie et techniques dinjections
146,est a coller ici
147,vendredi 9ho0/18h00
148,cv tp  0759cro10
149,prescriptions relative au traitement de laffection de longue duree reconnue (liste ou hors liste)
150,1431 inessut siret)
151,visites a domicile lapres midi
153,| 2 x stilnox 10mg cpr 14 0
154,"nutrition parenterale a domicie, dans les 26 dernieres semaines?"
155,lodif
157,5 x fosfomycine 3g zen gle buvable s 1
