,0
0,corgard 40 mg  1 comprimé le matin et le soir
1,peau atopique
2,quantité suffisante pour 14j
3,prendre 1/2 comprime toutes les 8 heures
4,"19 kggraduation 1 a 4 fois par jour selon besoin, en espacant les prises de 6h minimum pendant 3"
5,une ampoule buvable tous les 2mois 6 mois
6,prendre 1 comprime le matin 
7,"prendre, par voie orale, 1 ampoule par prise"
8,"1/2 mg par semaine, pendant 3 mois"
9,"> a poser 1 heure avant les vaccins, 1 sur chaque cuisse"
10,prendre 1a 2 cuijlerees a renourelec au bout de 6 heures en cas de besoin pendant 2 semaines
11,1 comprime toutes les 6 heures (max3 cmprimesjour) si douelurs ou fievre sup a 38c pendent 6 jours
12,12 comprimé le soir
13,pendant 8 semaine(s)
14,"ug par jour, en fonction de la reponse au traitement,, en"
15,un matin et soir pendant six jours
16,1 ampoule de vitamine d a la rentree
17,"une gelule a la fin dun repas au tout debut des regles le matin, a"
18,"prendre, par voie vaginale, 1 ovule au coucher"
19,et alterner avee elution ducray 
20,rulid 150 mg 1 matin et soir quantité suffisante pour 5 jours
21,"1 dosekilogramme par voie orale 4 fois par jour, si douleur ou fievre mal toleree"
22,1 le jour de lexamen
23,"en cas de demangeaison/ croutes du cuir chevelu,"
24,"si le traitement est efficace mais que la douleur revient, reprendre apres un intervalle de deux"
25,1 comprime matin et soir
26,1 comprimé soir
27,"faire 1 pulverisation le matin, a midi et le soir, pendant 4 jours"
28,priorix 1 vaccin
29,"1 gelule 1 fois par jour, pendant 2 mois (i le matin)"
30,prendre 2 comprimes
31,1 pilule tous les jours a la meme heure pendant 21 jours puis pause de 7 jours avant de reprendre une
32,"1 application par voie cutanee le matin et le soir, pendant 10 jours"
33,doliprane 1 gr 3 fois par jour quantité suffisante pour 5 jours
34,1 comprimé toutes les 6 a 8 heures pendant 3 jours
35,duphaston 2 comprimes le soir du 16 au 25 j du cycle
36,furosemide 40 mg 1 comprimé matin et midi
37,"1 sachet par voie orale le midi, pendant 3 mois"
38, oubli superieur a 12h il existe un risque de grossesse
39,"prendre 1 comprime par jour, pendant 12 mois a prendre en continu/ pasantre les plaquettes"
40,"prendre, par voie orale, 1 sachetdose le matin, pendant 5 jours"
41,pravastatine 20 mg 1 comprimé le soir
42,a renouveler selon besoin
43,6 mois
44,au bout de 6 heures
45,"1 comprime le matin , 1 comprime a midi , 1 comprime le soir"
46,1gelule le soir
47,tous les jours pendant dix jours
48,"prendre 3 comprimes par jour, pendant 3 jours"
49,a coller sur le haut des cuisses (face superoext)1 heure avant le rdv
50,"prendre, par voie orale, 2 gelules le soir, pendant 1 mois"
51,pendant ours puis 1 comprimé par jour pendant o08 jours
52,"1 application par voie cutanee le soir, pendant 15 jours"
53,repas si douleurs
54,tube renouvelable
55,"> prendre le comprime oublie le plus rapidement possible, finir la plaquette en prenant les comprimes a lheure habituelle"
56,quantité suffisante pour 1 an
57,"1 goutte, le soir, dans les deux yeux, pendant 6 mois"
58,euphon 300oml avec godet doseur de 15ml voie orale
59,q sirop six seances
60,inegy 10/20 mg un le soir pendant 1 mois
61,3 mois
62,i comprime par jour
63,1 comprime 6 a 8 fois par jour a sucer lentement
64,2 gelules (voie orale) 2 fois par jour pendant 6 jours
65,"je dis bien  deux comprimes au coucher pendant vingt huit jours par voie orale,"
66,en fonction de lefficacite et de la tolerance a 16 gouttes le soir
67,total)
68,2 bouffees matin et soir pendant 3 mois
